"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","3950698947.20869","4489417884.13917","4475248176.36879","4884175826.7891","4961540719.54879","5447549471.0734","6011489782.00185","6715423337.36849","6669514464.19242","7709545047.87287","8349716501.60606","8419996582.14722","6499539250","7812086852.58964","12421446497.6149","19265059553.8531","10418476781.1448","9054464725.27472","13066123055.5556","15329624763.4691","17766087086.5633","17244859241.1261","15787175648.7026","15487373737.3737","17638560000","19044846153.8462","18461933333.3333","20872387096.7742","22916762260.1539","24382929507.9723","26572217612.567","26445994397.7591","27312625994.695","29087275132.2751","29343665835.4115","32959477611.9403","38813105134.4743","39975222482.4356","40669581497.7974","41668760399.3344","42685807990.4592","42852075611.5641","43320163677.5205","48015474956.8221","51313402412.0944","54821235772.3577","56423504484.8124","63094504216.6232","74047774694.6509","81641583084.311","91289473949.6381","102110115363.168","105052641755.659","116938413682.408","134695157648.24","151852227932.064","166110657512.928","186461015038.402","211462727677.886","227667502862.025","242744519056.671",
"Bulgaria","BGR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","13695692307.6923","12596857142.8571","12534400000","11001222222.2222","11421166666.6667","11701631578.9474","13680411764.7059","19370923076.9231","14867294117.6471","15090388888.8889","16097272727.2727","8004354838.70968","8896391752.57732","10000797101.4493","8846439114.39114","13830267857.1429","10778268690.2754","8779392353.88549","11190939559.1911","11546660499.5375","11426100880.7046","12476891564.0591","14343630235.9172","18629961332.0252","22944990159.355","25961009465.7264","29234997755.4031","37836268019.5941","45073013237.6038","41471433852.2784","40409866657.6418","44850923569.1433","43869733902.7595","44138102605.8632","45182199837.1998","39502500000","40916518099.5475","44690739844.4252","50463374170.1871","51886790497.9966","54828042882.9459",
"Bahrain","BHR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1382860705.7575","1639095744.68085","1878190957.44681","1957712765.95745","2139361968.08511","1914361702.12766","1815425531.91489","2020744680.85106","2293882978.7234","2486170212.76596","2648670212.76596","3786968085.10638","3940691489.3617","4084840425.53191","4073138297.87234","4321276595.74468","4508244680.85106","4633776595.74468","4814627659.57447","5044148936.17021","5516835106.38298","5753324468.08511","6021728723.40425","6670319148.93617","8285531914.89362","8589601063.82979","8778377659.57447","9498803191.48936","11770345744.6809","12590292553.1915","13913776595.7447","15227154255.3191","16434680851.0638","18327101063.8298","18904707446.8085","19619707446.8085","20006622340.4255","20781941489.3617","21562925531.9149","21390824468.0851","",
"Bahamas, The","BHS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","506100000","611900000","894800000","990900000","1086200100","1141100000","1232300000","1599600000","1747700000","1870800000","2054100000","","2329790000","2396180000","2491670000","2435600000","2459830000","2613740000","2810110000","3030110000","4394100000","4787200000","5163200000","5374500000","5838100000","5886400000","5998700000","6203600000","6804800000","7297100000","7487300000","7625000000","7313200000","7491000000","7726900000","8217710000","8052400000","8484000000","8766300000","8746300000","9621100000","9922000000","10025000000","",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11911667301.5873","13033612259.1721","14385802065.2941","17015027291.8125","20634691431.9952","19138254847.6454","18528615155.4141","20018433435.2122","18836172644.8561","19585229108.6824","19876304436.3044","16790163311.5963","17005211809.2868","17755930621.1824","19280217260.1086","19079430484.8034","19370281887.0122",
"Belarus","BLR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400000000","","","","14217000000","10742555555.5556","11887538461.5385","10917692307.6923","11862152173.913","9497092369.47791","9731143654.11436","9782194244.60431","11751367950.8654","13996538274.0127","17203101851.8519","21983008356.546","26120372960.373","31845526561.0438","41612172284.6442","36786788399.5704","41009331990.6009","38384864321.608","40474055415.6171","48856159909.9099","52475401017.2144","38275806856.7123","33483614796.9441","38368162293.6397","41597320376.914","45606319915.8619","41198967043.7777",
"Belize","BLZ","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","127076317.507798","135460401.797979","134224977.096547","133567177.406522","131731689.890705","141428047.263465","139697336.323512","163972665.392706","186922108.570174","214357928.229519","222123563.672886","251750000","439903400","465309650","500901950","534253350","569188450","592298550","632322950","680011874.53055","723881727.805395","793755232.64663","862026208.431095","910018050.115145","940458112.43965","957543629.091165","977085753.67474","1041820550.86596","1095352121.34791","1144749142.05146","1191825483.64746","1260928752.79595","1296492209.45259","1365034453.08816","1414976712.86251","1469499446.71174","1599057793.8598","1580755587.85547","1619119873.89644","1600919971.06507","1445307254.96521",
"Bermuda","BMU","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088996000","4010713000","4009754000","4018507000","3965905000","4069755000","4205443000","4343386000","4368343000","4471912000","",
"Bolivia","BOL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","346416467.720663","389322025.409439","418037028.998815","447753718.759912","472378503.814755","533417508.417508","595454545.454545","674326599.326599","739898989.89899","795791245.791246","848063973.063973","944023569.023569","1040917638.20985","1012793603.1984","1615592203.89805","2002048975.51224","2268315842.07896","2701799100.44978","3112493753.12344","3642744065.91091","3670473083.19739","4934747145.1876","4729076955.97276","4472650347.53702","5089431775.78438","4534582947.94207","3596083165.10229","3950277635.83717","4155811321.39696","4200555043.69019","4313523710.46286","4804058258.39245","5210159979.48981","5318443412.81564","5452684125.09469","6002812115.90942","6543011074.76451","7023453552.32857","7586377561.20578","7591996593.48978","7634106088.78467","7410028001.02923","7098072384.93724","7074841106.12074","7384244329.6371","7858130447.18017","8832722427.48015","10139794935.806","12589309920.8378","13908505413.1054","14959204483.5892","17848012195.4735","19756346816.2084","22696563328.5094","25619724066.5702","28352112489.1462","29314157018.8133","31760846975.398","34057574891.4617","35410348596.2373","",
"Brazil","BRA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12190115073.3641","11992000784.22","16282880590.4373","18604727521.4267","17115832349.3402","16951827614.4205","21453709339.9631","25416088594.8761","27673985821.9234","29061029039.4237","33810560993.4346","39662117473.8288","47073605517.5611","61826422206.6525","84615479016.3177","95414734766.2849","121044193603.271","138463998128.67","157057611873.94","178372038063.206","185449993606.238","203719488313.553","224137528862.438","164482455315.142","164368547549.499","168648649160.71","210339906087.958","218881106852.983","238169586924.164","296337210937.5","363080000000","479080000000","314800000000","340372698757.764","429798216799.625","651096717554.756","722081995423.341","749350055194.805","727365948556.657","506260438695.101","546362229188.303","466801777059.774","415046484083.387","451804366070.848","526579262700.855","707903120522.511","880314769135.292","1101153037543.01","1332412508234.27","1360406473241.97","1750302410186.45","2065311453849.83","1970720393221.03","1993273039283.89","2016692732681.68","1509203462682.98","1519715005871.74","1746887572852.04","1620034210958.45","1593175819241.98","1202129619539.82",
"Barbados","BRB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","365174496.312064","397974847.7892","433212577.237393","483200914.831204","584497588.624273","665937453.388356","773877591.607418","791527867.548352","828916621.090837","904688509.918958","921443842.291056","1102272162.2831","1215581961.91518","1218465668.97032","1348481081.88734","1686620593.6459","1724009347.18839","1671300000","1748421418.98275","1775667478.74509","1953562372.59484","2059911500.02486","2213245164.81877","2426291453.28892","2576343658.33043","2691200000","2749300000","2754400000","2768200000","3079300000","3446250000","3513496050","3959358250","4252591350","3848918550","4221510750","4363015250","4262971600","4388392850","4376949500","4259147900","4307564750","4446282900","4596114850","4671636350","4093000000",
"Brunei Darussalam","BRN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","263449464.483565","330620334.837431","277238141.492634","301713536.115438","294195250.659631","405591832.980778","752848869.79264","598759880.721352","662616822.429906","799810695.693327","","","","","","1520791673.07594","1707586206.89655","1828548275.06367","2269490484.9601","2643272682.26266","2691501898.6513","3001269930.85932","3268085106.38298","3349946120.68966","2841180688.33652","2903244837.75811","3039279582.36659","3122305631.52313","3083575561.26438","3369624612.55883","3827177375.45853","3895461727.95001","4344074516.96142","5240130051.0915","5012983347.44567","5113776983.36312","5053171983.86505","5835917004.53136","6133162612.03585","6409846547.31458","6329913180.74191","5798930467.67038","5400894592.05097","5694482076.90637","5926601897.84269","6127478970.94405","5953482677.76233",
"Bhutan","BTN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234902677.037474","193875839.929639","214727750.771605","171849563.791407","170921510.997769","187896749.922911","234967626.305391","307472660.424126","324665945.2254","354575438.922434","308514147.752559","289877181.606273","350217292.73812","412781771.146415","478522372.021183","607189780.045352","522708861.76529","873030995.078419","803141185.421513","876925266.448096","1018167054.48565","1078691839.59889","986960673.46343","1322755001.04099","1340599510.073","1559984396.40915","1493251600.93042","1732261652.04786","1895863253.86207","1983663375.47554","",
"Botswana","BWA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","33463900.1822515","36184273.1215895","39069115.3792233","41765972.3193066","44744179.5622473","48373586.4861092","51394700.13947","59064853.5564854","72315202.2315202","70811864.6428074","87520938.0234506","99382369.4553622","118788819.875776","176343466.359314","232523914.64312","278093306.288032","305657773.689052","383610451.306413","472893021.009418","605950920.245399","777985074.626866","842117843.910601","782023890.45353","833394110.67554","840110905.730129","690555029.959003","826007131.073386","1136160581.33302","1317592693.86416","1566678247.05941","2174630475.67858","2377077562.32687","2611176944.58928","2634951095.70385","2847798554.71951","3287100497.79958","2984056314.30119","3194587487.67393","3208760264.08576","3297033128.62209","3370241875.41652","3180750530.71287","3249960491.7981","4550920402.43237","5403020903.91869","5704114057.88887","5653776666.72384","6261420766.27354","7050892293.72043","7367670598.59401","8810355569.94819","9949459082.79957","10247483803.416","10516162830.8469","10868016176.2904","10469069009.7739","10251742927.3841","11785830256.8761","12624166666.6667","12880716629.9426","11983310347.2356",
